Datetime,Frequency per Minute,Activity Level
2023-02-19 12:10:56,430,Low Activity
2023-02-19 12:11:56,1034,High Activity
2023-02-19 12:12:56,880,Moderate Activity
2023-02-19 12:13:56,1183,High Activity
2023-02-19 12:14:56,1071,High Activity
2023-02-19 12:15:56,1093,High Activity
2023-02-19 12:16:56,1101,High Activity
2023-02-19 12:17:56,1071,High Activity
2023-02-19 12:18:56,998,Moderate Activity
2023-02-19 12:19:56,1017,High Activity
2023-02-19 12:20:56,998,Moderate Activity
2023-02-19 12:21:56,1137,High Activity
2023-02-19 12:22:56,1092,High Activity
2023-02-19 12:23:56,1081,High Activity
2023-02-19 12:24:56,1028,High Activity
2023-02-19 12:25:56,1049,High Activity
2023-02-19 12:26:56,1088,High Activity
2023-02-19 12:27:56,1113,High Activity
2023-02-19 12:28:56,1050,High Activity
2023-02-19 12:29:56,1136,High Activity
2023-02-19 12:30:56,1165,High Activity
2023-02-19 12:31:56,1032,High Activity
2023-02-19 12:32:56,1059,High Activity
2023-02-19 12:33:56,967,Moderate Activity
2023-02-19 12:34:56,945,Moderate Activity
2023-02-19 12:35:56,1135,High Activity
2023-02-19 12:36:56,977,Moderate Activity
2023-02-19 12:37:56,1048,High Activity
2023-02-19 12:38:56,925,Moderate Activity
2023-02-19 12:39:56,1004,High Activity
2023-02-19 12:40:56,553,Moderate Activity
2023-02-19 12:41:56,818,Moderate Activity
2023-02-19 12:42:56,579,Moderate Activity
2023-02-19 12:43:56,501,Moderate Activity
2023-02-19 12:44:56,353,Low Activity
2023-02-19 12:45:56,592,Moderate Activity
2023-02-19 12:46:56,364,Low Activity
2023-02-19 12:47:56,310,Low Activity
2023-02-19 12:48:56,157,Low Activity
2023-02-19 12:49:56,200,Low Activity
2023-02-19 12:50:56,379,Low Activity
2023-02-19 12:51:56,245,Low Activity
2023-02-19 12:52:56,490,Low Activity
2023-02-19 12:53:56,377,Low Activity
2023-02-19 12:54:56,509,Moderate Activity
2023-02-19 12:55:56,466,Low Activity
2023-02-19 12:56:56,602,Moderate Activity
2023-02-19 12:57:56,550,Moderate Activity
2023-02-19 12:58:56,466,Low Activity
2023-02-19 12:59:56,469,Low Activity
2023-02-19 13:00:56,620,Moderate Activity
2023-02-19 13:01:56,1017,High Activity
2023-02-19 13:02:56,737,Moderate Activity
2023-02-19 13:03:56,604,Moderate Activity
2023-02-19 13:04:56,252,Low Activity
2023-02-19 13:05:56,769,Moderate Activity
2023-02-19 13:06:56,1210,High Activity
2023-02-19 13:07:56,1208,High Activity
2023-02-19 13:08:56,1092,High Activity
2023-02-19 13:09:56,455,Low Activity
2023-02-19 13:10:56,335,Low Activity
2023-02-19 13:11:56,86,Low Activity
2023-02-19 13:12:56,422,Low Activity
2023-02-19 13:13:56,313,Low Activity
2023-02-19 13:14:56,136,Low Activity
2023-02-19 13:15:56,267,Low Activity
2023-02-19 13:16:56,225,Low Activity
2023-02-19 13:17:56,222,Low Activity
2023-02-19 13:18:56,155,Low Activity
2023-02-19 13:19:56,239,Low Activity
2023-02-19 13:20:56,472,Low Activity
2023-02-19 13:21:56,329,Low Activity
2023-02-19 13:22:56,136,Low Activity
2023-02-19 13:23:56,102,Low Activity
2023-02-19 13:24:56,236,Low Activity
2023-02-19 13:25:56,107,Low Activity
2023-02-19 13:26:56,169,Low Activity
2023-02-19 13:27:56,300,Low Activity
2023-02-19 13:28:56,198,Low Activity
2023-02-19 13:29:56,230,Low Activity
2023-02-19 13:30:56,130,Low Activity
2023-02-19 13:31:56,203,Low Activity
2023-02-19 13:32:56,204,Low Activity
2023-02-19 13:33:56,124,Low Activity
2023-02-19 13:34:56,392,Low Activity
2023-02-19 13:35:56,335,Low Activity
2023-02-19 13:36:56,330,Low Activity
2023-02-19 13:37:56,666,Moderate Activity
2023-02-19 13:38:56,430,Low Activity
2023-02-19 13:39:56,298,Low Activity
2023-02-19 13:40:56,439,Low Activity
2023-02-19 13:41:56,425,Low Activity
2023-02-19 13:42:56,418,Low Activity
2023-02-19 13:43:56,479,Low Activity
2023-02-19 13:44:56,599,Moderate Activity
2023-02-19 13:45:56,539,Moderate Activity
2023-02-19 13:46:56,536,Moderate Activity
2023-02-19 13:47:56,712,Moderate Activity
2023-02-19 13:48:56,974,Moderate Activity
2023-02-19 13:49:56,567,Moderate Activity
2023-02-19 13:50:56,456,Low Activity
2023-02-19 13:51:56,467,Low Activity
2023-02-19 13:52:56,394,Low Activity
2023-02-19 13:53:56,312,Low Activity
2023-02-19 13:54:56,199,Low Activity
2023-02-19 13:55:56,268,Low Activity
2023-02-19 13:56:56,466,Low Activity
2023-02-19 13:57:56,652,Moderate Activity
2023-02-19 13:58:56,974,Moderate Activity
2023-02-19 13:59:56,943,Moderate Activity
2023-02-19 14:00:56,1057,High Activity
2023-02-19 14:01:56,1126,High Activity
2023-02-19 14:02:56,1011,High Activity
2023-02-19 14:03:56,974,Moderate Activity
2023-02-19 14:04:56,1071,High Activity
2023-02-19 14:05:56,944,Moderate Activity
2023-02-19 14:06:56,987,Moderate Activity
2023-02-19 14:07:56,1005,High Activity
2023-02-19 14:08:56,1172,High Activity
2023-02-19 14:09:56,1002,High Activity
2023-02-19 14:10:56,1064,High Activity
2023-02-19 14:11:56,1035,High Activity
2023-02-19 14:12:56,1027,High Activity
2023-02-19 14:13:56,1070,High Activity
2023-02-19 14:14:56,996,Moderate Activity
2023-02-19 14:15:56,964,Moderate Activity
